,train
495,"[174, 364, 721, 671, 460, 9157, 2611, 8460, 3081, 733, 585, 1235, 6451, 613, 3081, 2436, 6650, 407, 203, 74, 610, 454, 4466, 585, 1370, 3298, 6650, 2611, 751, 1796, 302, 74, 598, 168, 84, 168, 203, 1459, 807, 1320, 77, 1368, 1087, 77, 903, 713, 194, 2761, 8454, 5681, 1371, 3578, 7453, 7307, 1161, 3512, 205, 677, 1443, 617, 203, 7962, 2197, 60, 587, 64, 587, 67, 587, 72, 2090, 196, 751, 1093, 4806, 8776, 506, 208, 67, 613, 591, 206, 1379, 1161, 9946, 160, 315, 2624, 72, 7376, 196, 72, 671, 477, 1067, 1405, 1482, 4281, 9161, 5682, 807, 196, 75, 248, 936, 200, 5743, 610, 1694, 5425, 807, 6090, 9045, 3228, 6090, 9264, 5682, 807, 205, 1480, 1368, 2747, 851, 7765, 529, 977, 1263, 1371, 77, 621]"
496,"[1768, 3445, 778, 3463, 1624, 8467, 7476, 5364, 2523, 575, 33, 1538, 7476, 5364, 492, 3528, 575, 7197, 256, 600, 43, 1718, 252, 575, 41, 1277, 887, 5066, 1969, 4636, 507, 641, 377, 545, 417, 60, 417, 31, 2344, 797, 29, 5750, 240, 1363, 34, 1599, 240, 911, 3104, 1599, 3525, 43, 539, 2098, 5892, 555, 36, 6231, 3921, 3445, 1206, 3154, 539, 2586, 1247, 48, 3469, 3146, 5753, 1390, 1346, 40, 1346, 43, 1346, 48, 7441, 33, 754, 957, 176, 1654, 377, 3254, 4448, 6037, 627, 48, 2046, 393, 1206, 41, 350, 1390, 632, 6198, 1225, 6887, 7614, 41, 607, 1578, 1302, 4232, 6118, 2950, 7761, 33, 237, 240, 933, 34, 4815, 600, 48, 1182, 2241, 797, 2860, 787, 36, 5892, 3035, 2860, 7098, 8610, 38, 1082, 5530, 1082, 1363, 4792, 893, 3406, 3130, 4445, 1669, 8543, 1485]"
497,"[1768, 3446, 780, 3464, 1625, 8469, 7477, 5365, 2524, 577, 33, 1539, 7477, 5365, 493, 3532, 577, 7198, 258, 602, 43, 1720, 254, 577, 41, 1278, 888, 5068, 1970, 4637, 508, 643, 378, 546, 418, 60, 418, 31, 2346, 799, 29, 5752, 242, 1365, 34, 1601, 242, 912, 3105, 1601, 3527, 43, 540, 2100, 5894, 557, 36, 6233, 3922, 3446, 1207, 3155, 540, 2588, 1248, 48, 3472, 3148, 5755, 1391, 1348, 40, 1348, 43, 1348, 48, 7443, 33, 756, 959, 178, 1655, 378, 3256, 4452, 6038, 629, 48, 2047, 394, 1207, 41, 351, 1391, 633, 6200, 1227, 6888, 7616, 41, 608, 1580, 1304, 4234, 6119, 2952, 7763, 33, 239, 242, 935, 34, 4817, 602, 48, 1183, 2243, 799, 2862, 789, 36, 5894, 3037, 2862, 7102, 8611, 38, 1084, 5532, 1084, 1365, 4794, 895, 3408, 3131, 4446, 1671, 8545, 1487]"
498,"[174, 5022, 5022, 9851, 2987, 1332, 189, 991, 720, 6623, 5009, 6401, 1350, 990, 3622, 275, 195, 5958, 4397, 1919, 464, 5453, 7166, 179, 3074, 3022, 2163, 5585, 3243, 4404, 2666, 2373, 438, 289, 431, 272, 3743, 3803, 3743, 3605, 195, 2745, 1148, 4766, 59, 1300, 924, 463, 405, 5880, 3106, 5017, 4578, 441, 6937, 928, 272, 183, 2217, 464, 1142, 182, 1884, 438, 4093, 5806, 5009, 9253, 5349, 7305, 8578, 465, 190, 2793, 438, 224, 278, 6679, 1168, 7949, 2217, 442, 403, 2031, 367, 6908, 8675, 5880, 3106, 5017, 8849, 1758, 3500, 448, 193, 7913, 366, 182, 397, 5199, 6703, 7912, 224, 3121, 431, 5617, 190, 1919, 421, 440, 924, 939, 318, 195, 5616, 293, 1066, 1785, 1927, 3285, 295, 8592, 6408, 470, 924, 6471, 295, 275, 3431, 318, 1085, 293, 192, 3242, 4960, 2108, 470, 4960, 353, 8541, 1950, 279, 2469, 330, 1234, 2545, 2322, 2595, 2907, 134, 224, 278, 3181, 278, 313, 1075, 4578, 441, 3584, 196, 471, 404, 185, 267, 4467, 430, 3433, 442, 1074, 868, 276, 196, 5200, 1713, 1819, 8735, 198, 5747, 437, 9166]"
499,"[1700, 1506, 904, 4915, 9017, 5219, 1705, 4915, 1627, 39, 2750, 743, 6362, 904, 2995, 786, 42, 2690, 4375, 3596, 904, 40, 8038, 685, 4683, 2525, 1741, 4904, 520, 7449, 42, 218, 6787, 341, 3880, 6454, 2954, 1119, 1149, 2539, 7893, 230, 510, 503, 482, 6598, 2655, 2525, 1906, 2844, 4161, 40, 9686, 2972, 3956, 40, 443, 1224, 59, 639, 9226, 9304, 7533, 5905, 2750, 1195, 37, 1495, 6019, 2232, 1150, 3287, 56, 8072, 7633, 3870, 786, 30, 4051, 4375, 1214, 2949, 2110, 2168, 1822, 7069, 541, 56, 639, 6959, 652, 55, 1244, 2750, 3531, 3166, 2380, 6775, 328, 9822, 9226, 9304, 3152, 4187, 1842, 218, 514, 214, 1286, 47, 2360, 593, 49, 328, 2432, 9332, 33, 251, 1495, 9063, 526, 1639, 7108, 520, 2041, 3920, 7359, 1245, 3152, 1117, 995, 340, 2168, 707, 4439, 419, 7892, 38, 549, 5210, 2360, 443, 541, 49, 514, 995, 5254, 33, 648, 1232, 558, 280, 1245, 4247, 3805, 255, 1717, 329, 5859, 1540, 2964, 1130, 558, 6718, 5355, 1490, 3963, 3723, 3964, 424, 134, 33, 6959, 695, 2627, 573, 827, 3435, 1495, 5905, 356, 8053, 47, 5287, 503, 944, 45, 514, 2750, 487, 3166, 1150, 1189, 503, 297, 707, 2128, 2215, 50, 328, 56, 3112, 2128, 2154, 9275]"
500,"[1700, 1508, 906, 4917, 9019, 5221, 1707, 4917, 1629, 39, 2752, 745, 6364, 906, 2997, 788, 42, 2692, 4377, 3598, 906, 40, 8041, 687, 4682, 2526, 1742, 4905, 519, 7451, 42, 220, 6786, 342, 3879, 6723, 3282, 1118, 1153, 2541, 7894, 232, 509, 502, 481, 6599, 2654, 2526, 1908, 2843, 4163, 40, 1276, 358, 2974, 3954, 40, 445, 1226, 59, 637, 9228, 9306, 7534, 5907, 2752, 1197, 37, 1496, 6016, 2234, 1181, 3289, 56, 8071, 7635, 3869, 788, 30, 4053, 4377, 1215, 2951, 2111, 2141, 1826, 7068, 543, 56, 637, 6961, 654, 55, 1276, 2752, 3521, 3164, 2379, 6773, 409, 8506, 9228, 9306, 3153, 4188, 2061, 220, 513, 216, 1284, 47, 2363, 595, 49, 340, 982, 50, 1490, 253, 1496, 9062, 525, 1641, 6536, 519, 1937, 3583, 7360, 1246, 3153, 1155, 996, 343, 2141, 709, 4440, 352, 7885, 38, 551, 4451, 2363, 445, 543, 49, 513, 996, 5255, 33, 649, 1256, 559, 282, 1246, 4343, 3804, 257, 1719, 331, 5858, 1542, 3010, 1129, 559, 6453, 5356, 1559, 3965, 3724, 3966, 425, 134, 33, 6961, 696, 2504, 571, 822, 3487, 1496, 5907, 358, 8052, 47, 5286, 502, 946, 45, 513, 2752, 490, 3164, 1181, 1191, 502, 299, 709, 1991, 1952, 50, 409, 3114, 1991, 2153, 9277]"
501,"[174, 5023, 5023, 9852, 2988, 1331, 320, 990, 719, 6624, 5010, 6429, 1408, 1448, 3620, 372, 224, 5957, 4529, 1886, 463, 5487, 7168, 249, 2834, 3021, 2165, 5052, 3514, 4410, 2736, 2377, 441, 396, 430, 420, 3744, 2852, 3744, 3544, 224, 2744, 1775, 4778, 47, 1300, 1267, 611, 404, 5909, 3097, 5018, 4589, 615, 6969, 927, 420, 182, 2208, 463, 1731, 305, 2180, 441, 4105, 5805, 5010, 9254, 5350, 450, 193, 8579, 723, 439, 2794, 441, 548, 275, 6409, 1167, 8000, 2208, 437, 399, 2088, 366, 6894, 8674, 5909, 3097, 5018, 517, 295, 1757, 3300, 467, 363, 7898, 1407, 305, 406, 5190, 5985, 9303, 548, 7591, 430, 5618, 439, 1886, 9529, 1267, 1223, 634, 224, 6697, 517, 1142, 2882, 1924, 3281, 450, 3746, 5185, 363, 5726, 857, 1267, 8873, 450, 372, 4363, 634, 1549, 517, 8338, 5509, 465, 4976, 857, 7085, 750, 1369, 857, 5697, 321, 6674, 802, 1521, 7194, 2545, 2622, 2900, 134, 548, 275, 3243, 275, 276, 1066, 4589, 615, 6170, 9387, 505, 4592, 3238, 590, 3440, 437, 1073, 1329, 293, 195, 5198, 1776, 1871, 8717, 192, 6386, 497, 9167]"
502,"[174, 5026, 5026, 6158, 1034, 3814, 161, 5760, 4924, 151, 6625, 5011, 6402, 1352, 991, 3397, 278, 196, 3329, 5484, 4092, 1068, 5456, 7145, 180, 1999, 2724, 2134, 1676, 3181, 4405, 2668, 1342, 223, 498, 290, 506, 267, 3745, 1947, 3745, 438, 2757, 2261, 1124, 952, 666, 1300, 942, 464, 728, 5877, 3109, 5006, 4666, 438, 180, 1658, 151, 3587, 2436, 1068, 1066, 183, 1656, 498, 4809, 9965, 5011, 9251, 4544, 2315, 206, 8580, 399, 186, 1709, 498, 195, 355, 1764, 1288, 8324, 2436, 612, 716, 183, 4923, 6915, 8677, 5877, 3109, 5006, 5447, 1756, 3373, 460, 191, 7927, 367, 183, 398, 5201, 4963, 7925, 195, 3437, 506, 6186, 186, 4092, 422, 447, 942, 940, 288, 196, 6447, 276, 1075, 1811, 1941, 3358, 296, 8594, 5589, 471, 183, 56, 535, 403, 296, 278, 3365, 288, 1086, 276, 198, 6185, 4956, 2107, 471, 4956, 306, 8538, 1837, 304, 2441, 273, 1235, 2322, 2323, 2824, 3465, 134, 195, 355, 3360, 1126, 138, 1576, 4666, 438, 3621, 3974, 405, 1816, 2625, 431, 4029, 9966, 861, 313, 4924, 292, 1714, 1820, 8746, 68, 2220, 1714, 442, 9165]"
503,"[174, 6338, 6338, 2094, 6182, 2779, 1631, 208, 3361, 747, 6584, 5005, 2032, 1420, 6689, 908, 355, 1976, 690, 442, 6987, 1672, 5634, 7843, 66, 209, 815, 7548, 1377, 7378, 3360, 5691, 2708, 9066, 1769, 322, 1186, 307, 3738, 8011, 3738, 498, 8006, 656, 1164, 4884, 301, 1300, 1229, 622, 1483, 5878, 3111, 5019, 4611, 498, 1295, 5232, 307, 1255, 7190, 1075, 1091, 547, 929, 6079, 8215, 5005, 9220, 5348, 3593, 4360, 403, 4943, 547, 929, 6949, 7371, 2825, 5421, 3473, 143, 2326, 667, 734, 76, 324, 8678, 5878, 3111, 5019, 313, 3417, 734, 1163, 3772, 8808, 553, 1913, 223, 1715, 8308, 5206, 7932, 4466, 630, 1612, 7543, 194, 722, 7732, 1229, 1034, 5239, 1443, 313, 1576, 307, 1544, 5211, 292, 325, 8596, 6161, 636, 1229, 547, 716, 325, 6587, 302, 1185, 313, 715, 1443, 4922, 313, 3329, 4922, 319, 7390, 2252, 3317, 622, 277, 1527, 2323, 3226, 4084, 4927, 134, 6949, 586, 2847, 76, 614, 9625, 4611, 498, 225, 6744, 690, 728, 837, 586, 943, 506, 5421, 2172, 5745, 978, 71, 586, 9440, 1956, 1882, 74, 324, 80, 2220, 1956, 612, 9159]"
504,"[1700, 1507, 905, 4916, 9018, 5220, 1706, 4916, 1628, 39, 2751, 744, 6363, 905, 2996, 787, 42, 2691, 4376, 3597, 905, 40, 8046, 686, 4684, 2527, 1743, 4906, 521, 7450, 42, 219, 6788, 344, 3881, 6456, 3283, 1120, 1152, 2540, 7895, 231, 511, 507, 483, 6600, 2656, 2527, 1907, 2845, 4162, 40, 9688, 2973, 3955, 40, 444, 1225, 59, 641, 9227, 9305, 7535, 5906, 2751, 1196, 37, 1497, 6018, 2233, 1182, 3288, 56, 8073, 7634, 3871, 787, 30, 4052, 4376, 1216, 2950, 2112, 2167, 1824, 7070, 542, 56, 641, 6960, 653, 55, 1277, 2751, 3529, 3168, 2381, 6777, 741, 9849, 9227, 9305, 3154, 4189, 1843, 219, 515, 215, 1285, 47, 2362, 594, 49, 741, 5946, 9333, 33, 252, 1497, 9064, 527, 1640, 6537, 521, 2042, 3921, 7361, 1247, 3154, 1156, 997, 347, 2167, 708, 4441, 417, 7890, 38, 550, 4449, 2362, 444, 542, 49, 515, 997, 5256, 33, 650, 1257, 560, 281, 1247, 4248, 3806, 256, 1718, 332, 5860, 1541, 3009, 1131, 560, 6720, 5357, 1560, 3961, 3722, 3962, 423, 134, 33, 6960, 697, 2466, 583, 833, 3488, 1497, 5906, 357, 8054, 47, 5288, 507, 945, 45, 515, 2751, 489, 3168, 1182, 1190, 507, 298, 708, 2126, 2213, 50, 741, 56, 3113, 2126, 2155, 9276]"
505,"[1700, 1509, 907, 4918, 9020, 5222, 1708, 4918, 1630, 39, 2753, 746, 6365, 907, 2998, 789, 42, 2693, 4378, 3599, 907, 40, 8048, 688, 4685, 2528, 1744, 4907, 522, 7452, 42, 221, 6789, 345, 3882, 6457, 3284, 1121, 1154, 2542, 7896, 233, 512, 508, 484, 6601, 2657, 2528, 1909, 2846, 4164, 40, 9689, 2975, 3957, 40, 446, 1227, 59, 643, 9229, 9307, 7536, 5908, 2753, 1198, 37, 1498, 6020, 2235, 1183, 3290, 56, 8074, 7636, 3872, 789, 30, 4054, 4378, 1217, 2952, 2113, 2169, 1828, 7071, 544, 56, 643, 6962, 655, 55, 1278, 2753, 3533, 3170, 2382, 6779, 742, 9850, 9229, 9307, 3155, 4190, 1844, 221, 516, 217, 1287, 47, 2364, 596, 49, 742, 5947, 9334, 33, 254, 1498, 9065, 528, 1642, 6538, 522, 2043, 3922, 7362, 1248, 3155, 1157, 998, 348, 2169, 710, 4442, 418, 7891, 38, 552, 4453, 2364, 446, 544, 49, 516, 998, 5257, 33, 651, 1258, 561, 283, 1248, 4249, 3807, 258, 1720, 333, 5861, 1543, 3011, 1132, 561, 6721, 5358, 1561, 3967, 3725, 3968, 426, 134, 33, 6962, 698, 2467, 584, 834, 3489, 1498, 5908, 359, 8055, 47, 5289, 508, 947, 45, 516, 2753, 491, 3170, 1183, 1192, 508, 300, 710, 2127, 2214, 50, 742, 56, 3115, 2127, 2156, 9278]"
506,"[174, 5463, 1027, 986, 5633, 456, 2333, 2916, 452, 321, 9084, 8528, 1299, 499, 472, 193, 279, 2352, 499, 475, 8323, 453, 4721, 7836, 320, 317, 188, 449, 4577, 353, 5767, 321, 466, 353, 2855, 4981, 1500, 499, 1367, 2071, 4464, 4180, 2926, 204, 429, 3945, 4776, 694, 8667, 3668, 5117, 289, 204, 397, 3334, 986, 7314, 458, 318, 4299, 293, 306, 1425, 6816, 456, 353, 8171, 615, 6612, 5463, 1398, 986, 5960, 321, 4993, 6238, 4957, 496, 3334, 1874, 2352, 453, 1330, 306, 4381, 275, 267, 453, 3513, 397, 306, 1928, 1974, 1812, 2157, 397, 461, 2748, 1124, 4957, 5080, 4730, 4710, 5768, 440, 201, 9396, 3662, 4027, 447, 1075, 2561, 6952, 437, 3844, 3575, 437, 1319, 800, 2123, 1294, 7961, 2317, 3336, 316, 471, 2283, 440, 3627, 5990, 3436, 4957, 5080, 295, 1293, 8381, 290, 438, 326, 317, 9435, 226, 312, 5990, 290, 466, 192, 296, 3070, 456, 2123, 1262, 3844, 429, 437, 1299, 7000, 201, 6159, 7056, 312, 1875, 459, 317, 1066, 2087, 202, 459, 2481, 3452, 5285, 6412, 459, 452, 3452, 1123, 306, 199, 9790, 3378, 319, 3575, 3710, 1136, 6496, 4642, 7270]"
507,"[5212, 3728, 2101, 530, 334, 1618, 48, 5132, 3519, 43, 4119, 1144, 1823, 1233, 558, 7613, 4349, 443, 476, 3255, 1915, 6036, 909, 3096, 3394, 1081, 268, 27, 334, 2337, 673, 375, 758, 1414, 2331, 375, 758, 3038, 4679, 1414, 6782, 1244, 885, 7028, 3684, 510, 625, 389, 599, 36, 1434, 2646, 574, 29, 8966, 6827, 3654, 5031, 8549, 593, 5034, 6036, 334, 909, 51, 1717, 389, 1204, 35, 625, 373, 3291, 2641, 156, 2549, 625, 960, 2331, 5132, 2245, 4562, 3728, 3493, 2641, 6255, 2773, 661, 3215, 1434, 354, 661, 5034, 510, 625, 334, 2939, 1915, 1636, 354, 823, 8723, 909, 41, 389, 593, 43, 8881, 3574, 44, 1421, 2081, 3425, 1439, 9567, 1237, 2337, 823, 6112, 5136, 6040, 51, 568, 3638, 5330, 510, 5228, 578, 5579, 1233, 308, 7040, 50, 510, 2509, 365, 707, 50, 2646, 828, 3055, 1475, 3405, 408, 2426, 4208, 375, 1101, 3684, 354, 673, 5625, 9652, 2762, 2337, 823, 5191, 1349, 558, 9489, 9563, 5472, 682, 5625, 7412, 375, 673, 4814, 661, 48, 7696, 6827, 4243, 50, 673, 956, 7412, 568, 2681, 9674, 1439, 7999, 2426, 373, 3435, 389, 375, 761, 3275, 6548, 685, 46, 673, 8918, 761, 43, 6548, 685, 44, 1636, 476, 5605, 3755, 8918, 8099, 3090, 9553, 2013, 8966, 7596]"
508,"[5212, 3730, 2103, 532, 336, 1619, 48, 5131, 3523, 43, 4117, 1146, 1827, 1339, 559, 7615, 4348, 445, 478, 3080, 1917, 6035, 910, 3278, 3393, 1083, 270, 27, 336, 2338, 672, 383, 757, 1415, 2438, 383, 757, 3039, 4678, 1415, 6784, 1276, 886, 7030, 3910, 509, 631, 392, 601, 36, 1435, 2645, 576, 29, 8964, 6310, 3656, 5030, 8550, 595, 5035, 6035, 336, 910, 51, 1719, 392, 1205, 35, 631, 376, 3293, 2643, 158, 2548, 631, 962, 2438, 5131, 2249, 4566, 3730, 3497, 2643, 6257, 2774, 663, 3214, 1435, 9492, 5035, 509, 631, 336, 2801, 1917, 1701, 360, 824, 8724, 910, 41, 392, 595, 43, 8884, 2432, 44, 1422, 2039, 3471, 1438, 8084, 1268, 2338, 824, 6113, 5135, 6041, 51, 567, 3640, 5329, 509, 5230, 580, 5578, 1339, 310, 7646, 50, 509, 2511, 369, 709, 50, 2645, 830, 3057, 1477, 3407, 411, 2428, 4207, 383, 1100, 3910, 360, 672, 5629, 9655, 2764, 2338, 824, 5192, 1389, 559, 6730, 9562, 5474, 678, 5629, 7414, 383, 672, 4816, 663, 48, 7695, 6310, 4245, 50, 672, 958, 7414, 567, 2683, 9672, 1438, 7622, 2428, 376, 3487, 392, 383, 763, 3314, 6547, 687, 46, 672, 8919, 763, 43, 6547, 687, 44, 1701, 478, 5609, 3754, 8919, 8100, 3091, 9552, 1993, 8964, 7598]"
509,"[174, 974, 8553, 1613, 326, 619, 524, 4843, 5962, 646, 623, 7439, 8569, 8190, 706, 363, 321, 3270, 572, 694, 9456, 473, 5464, 7837, 974, 326, 189, 452, 4961, 750, 212, 6511, 475, 750, 2853, 5333, 971, 572, 2543, 3135, 6946, 6014, 6737, 210, 428, 523, 706, 4777, 2191, 8665, 3991, 4854, 396, 210, 406, 6753, 1613, 9464, 619, 634, 5250, 517, 353, 2206, 2983, 619, 524, 750, 9088, 1166, 8666, 974, 7140, 5699, 767, 623, 4995, 4996, 4835, 495, 6753, 4191, 3270, 473, 2149, 353, 4380, 372, 272, 473, 3658, 406, 353, 1925, 2062, 1878, 2176, 406, 566, 3239, 1148, 4835, 5459, 4742, 5444, 5767, 472, 294, 9394, 3661, 5463, 440, 1066, 2632, 6153, 497, 3851, 3571, 497, 1366, 808, 2124, 1292, 8032, 2316, 3194, 314, 470, 3132, 472, 3703, 6981, 3334, 4835, 5459, 450, 1330, 7065, 289, 441, 589, 326, 8852, 609, 5998, 495, 289, 475, 226, 2931, 495, 524, 2124, 1261, 3851, 428, 497, 1283, 6997, 294, 9993, 7055, 323, 1874, 458, 326, 1142, 2089, 201, 458, 3959, 3451, 5130, 212, 6680, 646, 3451, 1526, 4306, 9789, 3858, 306, 3571, 3972, 1530, 7059, 4546, 6953]"
510,"[174, 4027, 1028, 985, 4186, 457, 2332, 5966, 449, 279, 9083, 9069, 9687, 440, 191, 304, 2357, 500, 466, 8792, 454, 4584, 7842, 189, 327, 208, 485, 4728, 306, 5768, 279, 477, 306, 2856, 4842, 1528, 500, 1208, 2072, 7280, 4303, 2928, 205, 432, 4181, 3990, 475, 8668, 3667, 5098, 290, 205, 398, 3436, 985, 7007, 459, 288, 4045, 276, 319, 1426, 6815, 457, 306, 8172, 441, 6613, 4027, 1399, 985, 3632, 279, 4543, 5114, 2183, 617, 3436, 1875, 2357, 454, 1293, 319, 3384, 278, 307, 454, 3076, 398, 319, 1930, 1975, 1895, 2177, 398, 462, 2749, 1164, 2183, 4840, 4732, 5420, 3143, 447, 2086, 8664, 4364, 143, 1576, 2562, 1683, 442, 2133, 669, 292, 442, 1320, 801, 1213, 8119, 2372, 3466, 462, 3439, 9497, 2688, 447, 198, 3246, 617, 3299, 2183, 4840, 296, 1370, 8371, 8863, 317, 327, 325, 485, 192, 3246, 617, 322, 477, 198, 325, 3240, 457, 1213, 4521, 4338, 442, 1275, 3385, 447, 2086, 455, 636, 485, 3246, 3466, 327, 1075, 1994, 211, 691, 2482, 3453, 3391, 200, 3466, 449, 3453, 1125, 7002, 2262, 3258, 200, 3868, 292, 3707, 1137, 6498, 4643, 7244]"
511,"[174, 4364, 151, 208, 603, 3266, 591, 3069, 74, 8454, 6444, 821, 1288, 364, 704, 671, 447, 206, 455, 3319, 1375, 477, 208, 2253, 144, 4615, 7818, 188, 766, 2325, 143, 4503, 319, 3143, 304, 740, 319, 6767, 8419, 645, 671, 1209, 9160, 610, 4058, 322, 3868, 610, 3939, 4760, 466, 8628, 3669, 403, 3246, 72, 597, 3299, 208, 1838, 903, 691, 5620, 1161, 313, 2286, 161, 6592, 591, 319, 8198, 438, 6555, 4364, 161, 3633, 807, 304, 5139, 8424, 1589, 665, 3299, 322, 1838, 6146, 1370, 3536, 835, 1821, 903, 2575, 597, 433, 2501, 3064, 455, 1057, 4561, 529, 72, 613, 1863, 5004, 835, 5644, 1838, 6044, 618, 1520, 291, 7764, 7959, 3608, 86, 160, 751, 6763, 612, 1020, 518, 9505, 612, 751, 832, 1797, 1479, 9075, 3739, 364, 2841, 1110, 433, 7718, 704, 994, 1011, 6384, 5004, 835, 325, 2275, 315, 2583, 1682, 327, 1765, 1406, 198, 2500, 1011, 75, 1949, 3692, 588, 665, 591, 1797, 1310, 4327, 612, 704, 248, 1011, 618, 9726, 1110, 941, 2500, 6504, 766, 1576, 1379, 588, 765, 2483, 3448, 529, 455, 9347, 765, 485, 3448, 1333, 2519, 6169, 477, 5465, 247, 8104, 3708, 2679, 5048, 3149, 7602]"
512,"[5212, 3729, 2102, 531, 335, 1620, 48, 5133, 3525, 43, 4120, 1145, 1825, 1340, 560, 7614, 4350, 444, 479, 3254, 1916, 6037, 911, 3279, 3395, 1082, 269, 27, 335, 2339, 674, 390, 759, 1416, 2437, 390, 759, 3040, 4680, 1416, 6783, 1277, 887, 7031, 3823, 511, 632, 393, 600, 36, 1436, 2647, 575, 29, 8968, 6309, 3655, 5032, 8551, 594, 5036, 6037, 335, 911, 51, 1718, 393, 1206, 35, 632, 377, 3292, 2642, 157, 2550, 632, 961, 2437, 5133, 2247, 4564, 3729, 3495, 2642, 6256, 2775, 662, 3216, 1436, 9493, 5036, 511, 632, 335, 2938, 1916, 1702, 361, 825, 8725, 911, 41, 393, 594, 43, 8887, 3572, 44, 1423, 2080, 3426, 1440, 9568, 1269, 2339, 825, 6114, 5137, 6042, 51, 569, 3639, 5331, 511, 5229, 579, 5580, 1340, 309, 7648, 50, 511, 2510, 368, 708, 50, 2647, 829, 3056, 1476, 3406, 413, 2427, 4209, 390, 1102, 3823, 361, 674, 5627, 9658, 2765, 2339, 825, 5193, 1390, 560, 6731, 9564, 5475, 683, 5627, 7416, 390, 674, 4815, 662, 48, 7697, 6309, 4244, 50, 674, 957, 7416, 569, 2682, 9676, 1440, 7623, 2427, 377, 3488, 393, 390, 762, 3276, 6549, 686, 46, 674, 8920, 762, 43, 6549, 686, 44, 1702, 479, 5607, 3756, 8920, 8101, 3092, 9554, 2015, 8968, 7597]"
513,"[5212, 3731, 2104, 533, 337, 1621, 48, 5134, 3527, 43, 4121, 1147, 1829, 1341, 561, 7616, 4351, 446, 480, 3256, 1918, 6038, 912, 3280, 3396, 1084, 271, 27, 337, 2340, 675, 391, 760, 1417, 2439, 391, 760, 3041, 4681, 1417, 6785, 1278, 888, 7032, 3824, 512, 633, 394, 602, 36, 1437, 2648, 577, 29, 8970, 6311, 3657, 5033, 8552, 596, 5037, 6038, 337, 912, 51, 1720, 394, 1207, 35, 633, 378, 3294, 2644, 159, 2551, 633, 963, 2439, 5134, 2251, 4567, 3731, 3499, 2644, 6258, 2776, 664, 3217, 1437, 9494, 5037, 512, 633, 337, 2940, 1918, 1703, 362, 826, 8726, 912, 41, 394, 596, 43, 8889, 3573, 44, 1424, 2082, 3427, 1441, 9569, 1270, 2340, 826, 6115, 5138, 6043, 51, 570, 3641, 5332, 512, 5231, 581, 5581, 1341, 311, 7650, 50, 512, 2512, 370, 710, 50, 2648, 831, 3058, 1478, 3408, 414, 2429, 4210, 391, 1103, 3824, 362, 675, 5631, 9661, 2766, 2340, 826, 5194, 1391, 561, 6732, 9565, 5476, 684, 5631, 7418, 391, 675, 4817, 664, 48, 7698, 6311, 4246, 50, 675, 959, 7418, 570, 2684, 9678, 1441, 7625, 2429, 378, 3489, 394, 391, 764, 3277, 6550, 688, 46, 675, 8921, 764, 43, 6550, 688, 44, 1703, 480, 5611, 3757, 8921, 8102, 3093, 9555, 2017, 8970, 7599]"
514,"[174, 224, 1586, 939, 195, 1211, 775, 7487, 9010, 8528, 1519, 4506, 868, 195, 1927, 6912, 406, 437, 850, 204, 1314, 226, 809, 720, 33, 2792, 5987, 457, 8846, 312, 183, 431, 8846, 9010, 1367, 5070, 1884, 4310, 6705, 441, 1136, 3074, 437, 8211, 275, 1318, 463, 4310, 849, 431, 405, 323, 9010, 497, 1419, 1927, 405, 1235, 924, 367, 437, 2545, 2900, 2460, 57, 605, 849, 2772, 2071, 2793, 2403, 201, 9134, 4102, 4736, 4103, 293, 1066, 1886, 2748, 497, 2089, 4299, 2479, 470, 305, 9442, 306, 2051, 1778, 7393, 1382, 318, 7437, 4848, 1519, 6761, 318, 7437, 4848, 1519, 499, 1604, 6879, 2706, 2820, 50, 605, 7393, 775, 1194, 3432, 210, 275, 2305, 410, 190, 192, 191, 1294, 318, 195, 312, 496, 3508, 323, 9010, 497, 5070, 2443, 372, 437, 850, 3015, 172]"
515,"[174, 2150, 1491, 175, 45, 9718, 9832, 1726, 1233, 1622, 685, 40, 520, 1668, 218, 2485, 1061, 44, 156, 2154, 3810, 1362, 32, 770, 7707, 9358, 45, 340, 365, 1119, 573, 1439, 1495, 1119, 573, 4531, 661, 36, 1150, 558, 3287, 1665, 356, 2725, 44, 568, 1639, 4861, 3138, 1393, 4074, 770, 9971, 356, 1506, 2741, 538, 2525, 661, 3410, 1639, 2485, 2328, 1150, 443, 541, 2154, 424, 40, 3601, 5818, 1402, 2209, 1726, 5501, 6733, 3560, 568, 9836, 3414, 538, 2579, 909, 3152, 1490, 792, 389, 2649, 639, 146, 3747, 1204, 35, 2228, 373, 7250, 530, 1245, 43, 389, 419, 2355, 33, 792, 877, 268, 4432, 877, 3468, 1171, 1622, 5313, 5511, 877, 3468, 1171, 1622, 5313, 1490, 8257, 606, 8901, 3030, 1402, 33, 4323, 3884, 3145, 786, 36, 792, 2725, 42, 526, 443, 255, 1475, 33, 3443, 1005, 3152, 538, 2525, 661, 3410, 558, 218, 730, 28, 373, 5842, 3642, 1036]"
